msgId	sentiment
798276347089002496	0.1005701
798208533384851456	0.3411974
798601674612871170	0.06051139
798264797850730496	0.2062326
798195076207775744	0.09246922
798278689284825088	0.2737867
798334847961821184	0.1894725
798248992266190848	0.7552134
797877904256495616	0.5612533
798277177540284416	0.6211092
797939377913462784	0.1925364
798619338844426241	0.1137083
798411746528653312	0.5179357
797948488113790976	0.01938205
798298824393555968	0.7006605
797955515028377600	0.7804416
797924741906501632	0.003297748
797940345988259840	0.9951656
798316138518065152	0.4576413
798268693767659522	0.578916
797918932887748608	0.3928344
798316947129700352	0.2261975
797919207950270464	0.7378176
797912527413841921	0.1053931
798284749303386112	0.2647681
798503090286723072	0.9388534
798280157425528832	0.8332663
798276972245708800	0.8255243
797915916889686018	0.08000242
797915588614115329	0.2749054
797901901878599680	0.6014692
797980871210864640	0.4822862
797944895738695680	0.229741
798250665348722689	0.5128746
798004650482040832	0.1857175
797916190156918785	0.3068913
798602323140300800	0.8013644
798288653797695488	0.8128406
798330921887920128	0.7344887
798395295239376897	0.05564587
798363732422299648	0.9575298
798335916569952257	0.2719241
798358763786932224	0.01605504
798220832828952577	0.6014692
798596412854259712	0.5510189
798337224894976000	0.3566585
798167897348730885	0.02003362
798552184078077952	0.02975833
798601954532335621	0.8815652
797985668634935300	0.1682934
798024866494484480	0.06322747
797917524675489793	0.9616036
797880156496990208	0.7399806
798601769160871936	0.08001477
798307978172506112	0.130458
798356049283596288	0.07020767
798025200512077824	0.1986841
797993993883615232	0.3776483
797978505229336577	0.7804527
797969748457725953	0.2925526
798258005729021952	0.3139602
797926974920343552	0.01329819
798289764243898368	0.8421053
798560846406221825	0.6790856
797918262340239361	0.8312865
798297945179377664	0.6905428
798146767594418176	0.9383029
797968463000018944	0.1176133
798151876197773312	0.8347445
798600765430317056	0.04949275
798549867014524928	0.1043525
798189949224886272	0.9858607
797912654559866880	0.2912832
797889947852099584	0.7810437
797912408337612800	0.1043735
798018727551696896	0.2744706
798009562464862208	0.7690748
798522293546844160	0.3715971
798598706173911040	0.4362871
797946057451769856	0.3302847
797991832852500480	0.7722061
798142064403906561	0.8624581
797882076720758784	0.04360364
798226727277305858	0.5906575
797890245312315392	0.7682948
798500207528996864	0.3374423
798329105351516160	0.1416878
798238075147034624	0.1877986
797876480126631936	0.2406247
798603244159107074	0.2075213
798373662470467584	0.4895302
798176877919637504	0.02101692
798254154544054272	0.08692682
798611486847287296	0.356795
798551297679036416	0.4353388
798350080776409088	0.8471674
798587187633778688	0.78892
798375080954765312	0.5661882
797989677558939648	0.09999631
798214374951305216	0.7891505
798336770702086144	0.5767534
797895991038865410	0.3168224
798332492088573952	0.2789575
798603504856117249	0.1365647
797918612354760704	0.8176222
798252570103939072	0.7890496
797884849637834752	0.08456331
798582047166070784	0.2841017
798385350661971968	0.1915822
798573129341825024	0.1081018
798611418559844352	0.7308658
798164788228554752	0.05674934
798261235309510658	0.005126909
798235424133156864	0.9238012
798208400412712960	0.09561864
797913033406345216	0.06727737
798245221410684928	0.4807644
798255842654973952	0.6666299
798337810281459744	0.4744
798602682067890176	0.6330895
798130192170545152	0.7729534
798094201766326272	0.7711845
798413460996587522	0.204841
797918455525769216	0.5761014
797982084480516096	0.9959324
798611952419237888	0.1696545
798516270333390852	0.9373326
798333342064246784	0.8400059
798195648378105858	0.322161
797893750953418753	0.5326018
798252232818847746	0.6039592
797969606849613824	0.2117802
798328884706082816	0.2252095
797943590265593856	0.3914241
798162613695696897	0.2954038
798363733689061382	0.2478082
797919737657233408	0.1446734
798375437080506369	0.7393364
797917902322089985	0.869123
798228892167405568	0.5486962
797984820290789376	0.3816759
798501896478748672	0.2439047
797999011907112960	0.440222
798605670757048320	0.346296
798340943971659778	0.2851557
798313598015668226	0.7659423
798005331410427906	0.2014448
797920273693483009	0.5417545
797877603566751745	0.6065503
798218910680174592	0.5564871
797877160790949888	0.3357285
798388099369811968	0.1865114
798375860734570496	0.9129122
797916723030552576	0.633621
798007463169572865	0.04017508
797914944721195008	0.1078398
798586041678630912	0.6739424
798570077809442816	0.05105039
798234698786869249	0.1555093
798313129507770368	0.880408
798321939366428672	0.02367271
798290206914912256	0.8924381
798504494061391878	0.07426257
798314069946028032	0.718862
797972696692760577	0.06249421
798297148139958272	0.5311761
798591404037574657	0.8859391
798400953468801024	0.4819691
798242265164496896	0.09794039
798240383746510848	0.6179711
798221663804473344	0.6262804
798165829032390657	0.6365826
798604583224250368	0.3935298
798186235831255040	0.5938513
798329329214169088	0.4480734
798331389087092736	0.005342242
798334705515036672	0.5745962
798329059432394752	0.7242437
797993492513292288	0.4678759
797905513547563008	0.9858679
798192346064158720	0.4249404
798126758146867200	0.7732478
798261006786928640	0.9120162
798202897284689920	0.7534907
